id,name,lat,lon
759,"46.88,  9.88",46.875,9.875
760,"47.38,  9.88",47.375,9.875
761,"47.88,  9.88",47.875,9.875
762,"48.38,  9.88",48.375,9.875
763,"48.88,  9.88",48.875,9.875
764,"49.38,  9.88",49.375,9.875
765,"49.88,  9.88",49.875,9.875
766,"50.38,  9.88",50.375,9.875
767,"50.88,  9.88",50.875,9.875
768,"51.38,  9.88",51.375,9.875
769,"51.88,  9.88",51.875,9.875
770,"52.38,  9.88",52.375,9.875
771,"52.88,  9.88",52.875,9.875
772,"53.38,  9.88",53.375,9.875
773,"53.88,  9.88",53.875,9.875
774,"54.38,  9.88",54.375,9.875
775,"54.88,  9.88",54.875,9.875
784,"46.88, 10.38",46.875,10.375
785,"47.38, 10.38",47.375,10.375
786,"47.88, 10.38",47.875,10.375
787,"48.38, 10.38",48.375,10.375
788,"48.88, 10.38",48.875,10.375
789,"49.38, 10.38",49.375,10.375
790,"49.88, 10.38",49.875,10.375
791,"50.38, 10.38",50.375,10.375
792,"50.88, 10.38",50.875,10.375
793,"51.38, 10.38",51.375,10.375
794,"51.88, 10.38",51.875,10.375
795,"52.38, 10.38",52.375,10.375
796,"52.88, 10.38",52.875,10.375
797,"53.38, 10.38",53.375,10.375
798,"53.88, 10.38",53.875,10.375
799,"54.38, 10.38",54.375,10.375
800,"54.88, 10.38",54.875,10.375
810,"47.38, 10.88",47.375,10.875
811,"47.88, 10.88",47.875,10.875
812,"48.38, 10.88",48.375,10.875
813,"48.88, 10.88",48.875,10.875
814,"49.38, 10.88",49.375,10.875
815,"49.88, 10.88",49.875,10.875
816,"50.38, 10.88",50.375,10.875
817,"50.88, 10.88",50.875,10.875
818,"51.38, 10.88",51.375,10.875
819,"51.88, 10.88",51.875,10.875
820,"52.38, 10.88",52.375,10.875
821,"52.88, 10.88",52.875,10.875
822,"53.38, 10.88",53.375,10.875
823,"53.88, 10.88",53.875,10.875
824,"54.38, 10.88",54.375,10.875
835,"47.38, 11.38",47.375,11.375
836,"47.88, 11.38",47.875,11.375
837,"48.38, 11.38",48.375,11.375
838,"48.88, 11.38",48.875,11.375
839,"49.38, 11.38",49.375,11.375
840,"49.88, 11.38",49.875,11.375
841,"50.38, 11.38",50.375,11.375
842,"50.88, 11.38",50.875,11.375
843,"51.38, 11.38",51.375,11.375
844,"51.88, 11.38",51.875,11.375
845,"52.38, 11.38",52.375,11.375
846,"52.88, 11.38",52.875,11.375
847,"53.38, 11.38",53.375,11.375
848,"53.88, 11.38",53.875,11.375
849,"54.38, 11.38",54.375,11.375
860,"47.38, 11.88",47.375,11.875
861,"47.88, 11.88",47.875,11.875
862,"48.38, 11.88",48.375,11.875
863,"48.88, 11.88",48.875,11.875
864,"49.38, 11.88",49.375,11.875
865,"49.88, 11.88",49.875,11.875
866,"50.38, 11.88",50.375,11.875
867,"50.88, 11.88",50.875,11.875
868,"51.38, 11.88",51.375,11.875
869,"51.88, 11.88",51.875,11.875
870,"52.38, 11.88",52.375,11.875
871,"52.88, 11.88",52.875,11.875
872,"53.38, 11.88",53.375,11.875
873,"53.88, 11.88",53.875,11.875
874,"54.38, 11.88",54.375,11.875
885,"47.38, 12.38",47.375,12.375
886,"47.88, 12.38",47.875,12.375
887,"48.38, 12.38",48.375,12.375
888,"48.88, 12.38",48.875,12.375
889,"49.38, 12.38",49.375,12.375
890,"49.88, 12.38",49.875,12.375
891,"50.38, 12.38",50.375,12.375
892,"50.88, 12.38",50.875,12.375
893,"51.38, 12.38",51.375,12.375
894,"51.88, 12.38",51.875,12.375
895,"52.38, 12.38",52.375,12.375
896,"52.88, 12.38",52.875,12.375
897,"53.38, 12.38",53.375,12.375
898,"53.88, 12.38",53.875,12.375
899,"54.38, 12.38",54.375,12.375
910,"47.38, 12.88",47.375,12.875
911,"47.88, 12.88",47.875,12.875
912,"48.38, 12.88",48.375,12.875
913,"48.88, 12.88",48.875,12.875
914,"49.38, 12.88",49.375,12.875
915,"49.88, 12.88",49.875,12.875
916,"50.38, 12.88",50.375,12.875
917,"50.88, 12.88",50.875,12.875
918,"51.38, 12.88",51.375,12.875
919,"51.88, 12.88",51.875,12.875
920,"52.38, 12.88",52.375,12.875
921,"52.88, 12.88",52.875,12.875
922,"53.38, 12.88",53.375,12.875
923,"53.88, 12.88",53.875,12.875
924,"54.38, 12.88",54.375,12.875
935,"47.38, 13.38",47.375,13.375
936,"47.88, 13.38",47.875,13.375
937,"48.38, 13.38",48.375,13.375
938,"48.88, 13.38",48.875,13.375
939,"49.38, 13.38",49.375,13.375
940,"49.88, 13.38",49.875,13.375
941,"50.38, 13.38",50.375,13.375
942,"50.88, 13.38",50.875,13.375
943,"51.38, 13.38",51.375,13.375
944,"51.88, 13.38",51.875,13.375
945,"52.38, 13.38",52.375,13.375
946,"52.88, 13.38",52.875,13.375
947,"53.38, 13.38",53.375,13.375
948,"53.88, 13.38",53.875,13.375
949,"54.38, 13.38",54.375,13.375
950,"54.88, 13.38",54.875,13.375
960,"47.38, 13.88",47.375,13.875
961,"47.88, 13.88",47.875,13.875
962,"48.38, 13.88",48.375,13.875
963,"48.88, 13.88",48.875,13.875
964,"49.38, 13.88",49.375,13.875
965,"49.88, 13.88",49.875,13.875
966,"50.38, 13.88",50.375,13.875
967,"50.88, 13.88",50.875,13.875
968,"51.38, 13.88",51.375,13.875
969,"51.88, 13.88",51.875,13.875
970,"52.38, 13.88",52.375,13.875
971,"52.88, 13.88",52.875,13.875
972,"53.38, 13.88",53.375,13.875
973,"53.88, 13.88",53.875,13.875
974,"54.38, 13.88",54.375,13.875
975,"54.88, 13.88",54.875,13.875
986,"47.88, 14.38",47.875,14.375
987,"48.38, 14.38",48.375,14.375
988,"48.88, 14.38",48.875,14.375
989,"49.38, 14.38",49.375,14.375
990,"49.88, 14.38",49.875,14.375
991,"50.38, 14.38",50.375,14.375
