EEA_SQUARE;MAPX;MAPY;PARTNER_ID;DATE_YEAR;DATE_WEEK;SPECIES_CD;COMP_LISTS;CASUAL_EV;RECORDS;NUM_COUNTS;MAX_COUNT;AV_COUNT
10kmE377N241;3775000.00;2415000.00;France;2016;38;OENOEN;;2;2;2;1;1.00
10kmE377N242;3775000.00;2425000.00;France;2016;38;OENOEN;;2;3;3;2;1.66
10kmE377N246;3775000.00;2465000.00;France;2016;38;OENOEN;;2;3;3;4;2.33
10kmE377N247;3775000.00;2475000.00;France;2016;38;OENOEN;;1;2;2;4;3.00
10kmE378N236;3785000.00;2365000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE378N237;3785000.00;2375000.00;France;2016;38;OENOEN;;1;1;1;4;4.00
10kmE378N241;3785000.00;2415000.00;France;2016;38;OENOEN;;2;3;3;1;1.00
10kmE378N246;3785000.00;2465000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE378N251;3785000.00;2515000.00;France;2016;38;OENOEN;;1;1;1;3;3.00
10kmE378N252;3785000.00;2525000.00;France;2016;38;OENOEN;;2;4;4;2;1.25
10kmE378N253;3785000.00;2535000.00;France;2016;38;OENOEN;1;3;5;5;4;1.60
10kmE378N257;3785000.00;2575000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE378N286;3785000.00;2865000.00;France;2016;38;OENOEN;;1;2;2;2;1.50
10kmE378N289;3785000.00;2895000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE378N290;3785000.00;2905000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE379N233;3795000.00;2335000.00;France;2016;38;OENOEN;;1;2;2;6;4.50
10kmE379N236;3795000.00;2365000.00;France;2016;38;OENOEN;;2;2;2;2;2.00
10kmE379N237;3795000.00;2375000.00;France;2016;38;OENOEN;;2;5;5;10;3.20
10kmE379N238;3795000.00;2385000.00;France;2016;38;OENOEN;;1;1;1;5;5.00
10kmE379N251;3795000.00;2515000.00;France;2016;38;OENOEN;;1;1;1;10;10.00
10kmE379N255;3795000.00;2555000.00;France;2016;38;OENOEN;;2;2;2;6;3.50
10kmE379N289;3795000.00;2895000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE380N232;3805000.00;2325000.00;France;2016;38;OENOEN;;1;2;2;2;2.00
10kmE380N233;3805000.00;2335000.00;France;2016;38;OENOEN;;1;4;4;20;6.25
