"Tint","oper_mod","Hint","class","mtrf","nEcho","mean_dir","sd_dir_Mardia72","sd_dir_Batschelet84","med_dir","meanSpeed","sdSpeed","medSpeed","nFlightBehav","is_night","sunset_date","tstepS","RecS","RainS","RecH","tstepH","mtr"
2016-09-02 14:00:00,"M",1000,"bird",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,0,0.233333333333333,1,0
2016-09-02 14:00:00,"S",1000,"bird",97.3622778685539,12,356.61705,36.3368462024116,34.5842617899353,356.61705,8.225755,2.59288278486514,8.225755,2,0,"20160902",3600,1680,8,0.466666666666667,1,208.633452575473
2016-09-02 15:00:00,"L",1000,"bird",12.2992173286389,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,13,0.233333333333333,1,52.7109314084524
2016-09-02 15:00:00,"M",1000,"bird",52.6200301938857,7,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,0,0.233333333333333,1,225.514415116653
2016-09-02 15:00:00,"S",1000,"bird",95.9009067058602,10,41.5476,0,0,41.5476,7.29705,NA,7.29705,1,0,"20160902",3600,1680,11,0.466666666666667,1,205.501942941129
2016-09-02 16:00:00,"L",1000,"bird",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,7,0.233333333333333,1,0
2016-09-02 16:00:00,"M",1000,"bird",21.0513961164827,2,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,0,0.233333333333333,1,90.22026907064
2016-09-02 16:00:00,"S",1000,"bird",27.8854408266672,5,177.1565,11.4293620510047,11.3727469615647,177.1565,15.9176,1.40487975286143,15.9176,2,0,"20160902",3600,1680,9,0.466666666666667,1,59.754516057144
2016-09-02 17:00:00,"L",1000,"bird",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,6,0.233333333333333,1,0
2016-09-02 17:00:00,"M",1000,"bird",3.37366903592167,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,7,0.233333333333333,1,14.4585815825214
2016-09-02 17:00:00,"S",1000,"bird",27.2463366719796,2,338.381,13.9224018231601,13.8202750244623,338.381,5.579025,2.7239662399615,5.579025,2,0,"20160902",3600,1680,6,0.466666666666667,1,58.3850071542421
2016-09-02 18:00:00,"L",1000,"bird",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,10,0.233333333333333,1,0
2016-09-02 18:00:00,"M",1000,"bird",25.2475392173022,6,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160902",3600,840,10,0.233333333333333,1,108.203739502724
2016-09-02 18:00:00,"S",1000,"bird",243.193865727321,29,229.365,0,0,229.365,17.7859,NA,17.7859,1,0,"20160902",3600,1680,9,0.466666666666667,1,521.12971227283
2016-09-02 19:00:00,"L",1000,"bird",13.2852904547628,4,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160902",3600,840,0,0.233333333333333,1,56.9369590918406
2016-09-02 19:00:00,"M",1000,"bird",178.918132773893,34,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160902",3600,840,0,0.233333333333333,1,766.7919976024
2016-09-02 19:00:00,"S",1000,"bird",588.40426136485,74,262.994863788639,72.1796449849145,59.9691093026287,262.018,12.546291,6.9307412389683,11.29785,20,1,"20160902",3600,1680,0,0.466666666666667,1,1260.86627435325
2016-09-02 20:00:00,"L",1000,"bird",78.7534252898951,15,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160902",3600,840,8,0.233333333333333,1,337.514679813836
2016-09-02 20:00:00,"M",1000,"bird",159.928566241778,35,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160902",3600,840,0,0.233333333333333,1,685.408141036192
2016-09-02 20:00:00,"S",1000,"bird",479.664838244398,65,255.666912268933,88.9023406828476,67.7906407315793,251.543,14.14344875,6.70254566973158,11.8874,24,1,"20160902",3600,1680,0,0.466666666666667,1,1027.85322480942
2016-09-02 21:00:00,"L",1000,"bird",105.899941134522,24,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160902",3600,840,0,0.233333333333333,1,453.856890576525
2016-09-02 21:00:00,"M",1000,"bird",186.552250178247,39,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160902",3600,840,0,0.233333333333333,1,799.509643621059
2016-09-02 21:00:00,"S",1000,"bird",457.238624883122,82,252.998099724764,73.815649528571,60.8471284674136,262.351,13.3408637037037,11.2529053527882,11.3723,27,1,"20160902",3600,1680,0,0.466666666666667,1,979.797053320975
2016-09-02 22:00:00,"L",1000,"bird",74.8348823124655,16,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160902",3600,840,0,0.233333333333333,1,320.720924196281
2016-09-02 22:00:00,"M",1000,"bird",161.100077996905,35,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160902",3600,840,6,0.233333333333333,1,690.428905701023
2016-09-02 22:00:00,"S",1000,"bird",294.425500189858,45,287.23422208663,41.1244268974087,38.6129225076178,292.0805,11.1843375,4.73899147031382,11.3134,8,1,"20160902",3600,1680,0,0.466666666666667,1,630.911786121123
2016-09-02 23:00:00,"L",1000,"bird",83.3288530884279,19,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160902",3600,840,0,0.233333333333333,1,357.123656093262
2016-09-02 23:00:00,"M",1000,"bird",182.213649713076,37,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160902",3600,840,0,0.233333333333333,1,780.915641627467
